Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,3002.239990,3002.239990,3002.239990,3002.239990,3002.239990,0
2016-10-03,2998.500000,2998.500000,2998.500000,2998.500000,2998.500000,0
2016-10-04,3029.500000,3029.500000,3029.500000,3029.500000,3029.500000,0
2016-10-05,3026.280029,3026.280029,3026.280029,3026.280029,3026.280029,0
2016-10-06,3021.580078,3021.580078,3021.580078,3021.580078,3021.580078,0
2016-10-07,3000.570068,3000.570068,3000.570068,3000.570068,3000.570068,0
2016-10-10,3035.760010,3035.760010,3035.760010,3035.760010,3035.760010,0
2016-10-11,3020.689941,3020.689941,3020.689941,3020.689941,3020.689941,0
2016-10-12,3008.030029,3008.030029,3008.030029,3008.030029,3008.030029,0
2016-10-13,2975.040039,2975.040039,2975.040039,2975.040039,2975.040039,0
2016-10-14,3025.189941,3025.189941,3025.189941,3025.189941,3025.189941,0
2016-10-17,3008.719971,3008.719971,3008.719971,3008.719971,3008.719971,0
2016-10-18,3046.989990,3046.989990,3046.989990,3046.989990,3046.989990,0
2016-10-19,3055.939941,3055.939941,3055.939941,3055.939941,3055.939941,0
2016-10-20,3076.629883,3076.629883,3076.629883,3076.629883,3076.629883,0
2016-10-21,3077.649902,3077.649902,3077.649902,3077.649902,3077.649902,0
2016-10-24,3093.860107,3093.860107,3093.860107,3093.860107,3093.860107,0
2016-10-25,3087.409912,3087.409912,3087.409912,3087.409912,3087.409912,0
2016-10-26,3080.979980,3080.979980,3080.979980,3080.979980,3080.979980,0
2016-10-27,3085.169922,3085.169922,3085.169922,3085.169922,3085.169922,0
2016-10-28,3079.239990,3079.239990,3079.239990,3079.239990,3079.239990,0
2016-10-31,3055.250000,3055.250000,3055.250000,3055.250000,3055.250000,0
2016-11-01,3023.149902,3023.149902,3023.149902,3023.149902,3023.149902,0
2016-11-02,2980.169922,2980.169922,2980.169922,2980.169922,2980.169922,0
2016-11-03,2973.489990,2973.489990,2973.489990,2973.489990,2973.489990,0
2016-11-04,2954.530029,2954.530029,2954.530029,2954.530029,2954.530029,0
2016-11-07,3009.280029,3009.280029,3009.280029,3009.280029,3009.280029,0
2016-11-08,3023.429932,3023.429932,3023.429932,3023.429932,3023.429932,0
2016-11-09,3056.290039,3056.290039,3056.290039,3056.290039,3056.290039,0
2016-11-10,3046.590088,3046.590088,3046.590088,3046.590088,3046.590088,0
2016-11-11,3030.020020,3030.020020,3030.020020,3030.020020,3030.020020,0
2016-11-14,3039.800049,3039.800049,3039.800049,3039.800049,3039.800049,0
2016-11-15,3049.719971,3049.719971,3049.719971,3049.719971,3049.719971,0
2016-11-16,3026.360107,3026.360107,3026.360107,3026.360107,3026.360107,0
2016-11-17,3041.790039,3041.790039,3041.790039,3041.790039,3041.790039,0
2016-11-18,3020.830078,3020.830078,3020.830078,3020.830078,3020.830078,0
2016-11-21,3032.969971,3032.969971,3032.969971,3032.969971,3032.969971,0
2016-11-22,3044.330078,3044.330078,3044.330078,3044.330078,3044.330078,0
2016-11-23,3032.149902,3032.149902,3032.149902,3032.149902,3032.149902,0
2016-11-24,3040.600098,3040.600098,3040.600098,3040.600098,3040.600098,0
2016-11-25,3048.379883,3048.379883,3048.379883,3048.379883,3048.379883,0
2016-11-28,3016.800049,3016.800049,3016.800049,3016.800049,3016.800049,0
2016-11-29,3038.419922,3038.419922,3038.419922,3038.419922,3038.419922,0
2016-11-30,3051.610107,3051.610107,3051.610107,3051.610107,3051.610107,0
2016-12-01,3030.979980,3030.979980,3030.979980,3030.979980,3030.979980,0
2016-12-02,3015.129883,3015.129883,3015.129883,3015.129883,3015.129883,0
2016-12-05,3052.750000,3052.750000,3052.750000,3052.750000,3052.750000,0
2016-12-06,3100.760010,3100.760010,3100.760010,3100.760010,3100.760010,0
2016-12-07,3142.239990,3142.239990,3142.239990,3142.239990,3142.239990,0
2016-12-08,3185.790039,3185.790039,3185.790039,3185.790039,3185.790039,0
2016-12-09,3197.540039,3197.540039,3197.540039,3197.540039,3197.540039,0
2016-12-12,3199.110107,3199.110107,3199.110107,3199.110107,3199.110107,0
2016-12-13,3236.709961,3236.709961,3236.709961,3236.709961,3236.709961,0
2016-12-14,3211.709961,3211.709961,3211.709961,3211.709961,3211.709961,0
2016-12-15,3249.739990,3249.739990,3249.739990,3249.739990,3249.739990,0
2016-12-16,3259.239990,3259.239990,3259.239990,3259.239990,3259.239990,0
2016-12-19,3257.850098,3257.850098,3257.850098,3257.850098,3257.850098,0
2016-12-20,3279.409912,3279.409912,3279.409912,3279.409912,3279.409912,0
2016-12-21,3270.750000,3270.750000,3270.750000,3270.750000,3270.750000,0
2016-12-22,3269.510010,3269.510010,3269.510010,3269.510010,3269.510010,0
2016-12-23,3273.969971,3273.969971,3273.969971,3273.969971,3273.969971,0
2016-12-27,3278.530029,3278.530029,3278.530029,3278.530029,3278.530029,0
2016-12-28,3278.719971,3278.719971,3278.719971,3278.719971,3278.719971,0
2016-12-29,3271.760010,3271.760010,3271.760010,3271.760010,3271.760010,0
2016-12-30,3290.520020,3290.520020,3290.520020,3290.520020,3290.520020,0
2017-01-03,3315.020020,3315.020020,3315.020020,3315.020020,3315.020020,0
