Date,Open,High,Low,Close,Adj Close,Volume
2016-10-03,16566.029297,16652.160156,16554.830078,16598.669922,16598.669922,99200
2016-10-04,16661.509766,16747.199219,16637.820313,16735.650391,16735.650391,100300
2016-10-05,16787.890625,16844.349609,16728.189453,16819.240234,16819.240234,115100
2016-10-06,16913.599609,16971.279297,16888.769531,16899.099609,16899.099609,110600
2016-10-07,16883.119141,16895.130859,16820.210938,16860.089844,16860.089844,100300
2016-10-11,16936.310547,17074.460938,16931.119141,17024.759766,17024.759766,111600
2016-10-12,16850.730469,16951.539063,16839.410156,16840.000000,16840.000000,116300
2016-10-13,16923.820313,16974.250000,16739.730469,16774.240234,16774.240234,111100
2016-10-14,16751.039063,16866.560547,16727.779297,16856.369141,16856.369141,109400
2016-10-17,16871.839844,16954.439453,16821.490234,16900.119141,16900.119141,95100
2016-10-18,16862.310547,16966.900391,16844.169922,16963.609375,16963.609375,98600
2016-10-19,16952.910156,17016.660156,16938.460938,16998.910156,16998.910156,101700
2016-10-20,16999.359375,17235.500000,16992.140625,17235.500000,17235.500000,112400
2016-10-21,17283.750000,17288.890625,17151.980469,17184.589844,17184.589844,114200
2016-10-24,17216.560547,17244.740234,17162.210938,17234.419922,17234.419922,87700
2016-10-25,17298.630859,17381.800781,17298.630859,17365.250000,17365.250000,108400
2016-10-26,17329.029297,17391.839844,17295.460938,17391.839844,17391.839844,98100
2016-10-27,17346.390625,17414.210938,17278.119141,17336.419922,17336.419922,107600
2016-10-28,17448.250000,17461.029297,17406.720703,17446.410156,17446.410156,167900
2016-10-31,17360.890625,17433.130859,17327.619141,17425.019531,17425.019531,157200
2016-11-01,17380.539063,17473.119141,17339.640625,17442.400391,17442.400391,123000
2016-11-02,17238.000000,17283.599609,17080.589844,17134.679688,17134.679688,135200
2016-11-04,16964.500000,16996.089844,16801.980469,16905.359375,16905.359375,134800
2016-11-07,17126.029297,17186.890625,17056.839844,17177.210938,17177.210938,113000
2016-11-08,17242.699219,17247.039063,17130.830078,17171.380859,17171.380859,103100
2016-11-09,17281.949219,17427.710938,16111.809570,16251.540039,16251.540039,274900
2016-11-10,16562.859375,17393.820313,16560.660156,17344.419922,17344.419922,229400
2016-11-11,17526.609375,17621.730469,17333.490234,17374.789063,17374.789063,249300
2016-11-14,17467.490234,17697.330078,17455.779297,17672.619141,17672.619141,165300
2016-11-15,17690.220703,17727.580078,17605.769531,17668.150391,17668.150391,173200
2016-11-16,17832.509766,17886.439453,17807.470703,17862.210938,17862.210938,200300
2016-11-17,17766.609375,17884.060547,17764.080078,17862.630859,17862.630859,161100
2016-11-18,18024.210938,18043.720703,17967.410156,17967.410156,17967.410156,166800
2016-11-21,18038.089844,18129.029297,18007.789063,18106.019531,18106.019531,135700
2016-11-22,18091.050781,18175.630859,18050.550781,18162.939453,18162.939453,121900
2016-11-24,18329.779297,18382.720703,18310.310547,18333.410156,18333.410156,149400
2016-11-25,18387.589844,18482.939453,18288.500000,18381.220703,18381.220703,164900
2016-11-28,18302.580078,18374.929688,18222.820313,18356.890625,18356.890625,145000
2016-11-29,18263.630859,18327.509766,18258.820313,18307.039063,18307.039063,125600
2016-11-30,18356.029297,18370.310547,18280.660156,18308.480469,18308.480469,164700
2016-12-01,18535.240234,18746.279297,18469.269531,18513.119141,18513.119141,188000
2016-12-02,18435.550781,18469.679688,18315.380859,18426.080078,18426.080078,197200
2016-12-05,18349.919922,18365.740234,18227.390625,18274.990234,18274.990234,134500
2016-12-06,18457.199219,18484.800781,18318.990234,18360.539063,18360.539063,158800
2016-12-07,18434.539063,18502.470703,18410.880859,18496.689453,18496.689453,151700
2016-12-08,18674.189453,18765.470703,18614.009766,18765.470703,18765.470703,187400
2016-12-09,18839.980469,19042.480469,18821.410156,18996.369141,18996.369141,212300
2016-12-12,19183.820313,19280.929688,19054.000000,19155.029297,19155.029297,200600
2016-12-13,19120.759766,19253.509766,19060.720703,19250.519531,19250.519531,147600
2016-12-14,19270.009766,19284.279297,19184.750000,19253.609375,19253.609375,133200
