Sentiment,Date
-0.205,Mon Jun 04 13:47:43 +0000 2018
0.0,Mon Jun 04 12:41:47 +0000 2018
0.13,Sat Jun 02 16:35:14 +0000 2018
0.10277777777777776,Wed May 23 11:55:35 +0000 2018
0.25,Mon May 21 13:16:31 +0000 2018
0.3185374149659864,Mon May 21 11:40:22 +0000 2018
0.04722222222222221,Mon May 21 11:31:16 +0000 2018
0.5416666666666666,Mon May 21 11:27:42 +0000 2018
0.3958333333333333,Mon May 21 11:21:29 +0000 2018
0.0,Thu May 17 21:27:52 +0000 2018
0.06874999999999999,Wed May 16 13:09:20 +0000 2018
-0.06666666666666668,Wed May 16 13:09:20 +0000 2018
-0.1888888888888889,Wed May 16 13:09:19 +0000 2018
0.625,Tue May 15 12:35:30 +0000 2018
0.03571428571428571,Mon May 14 20:06:53 +0000 2018
0.09895833333333333,Sun May 13 19:22:03 +0000 2018
0.16499999999999998,Sun May 13 15:01:00 +0000 2018
0.55,Tue May 08 11:22:53 +0000 2018
0.056190476190476187,Sat May 05 00:31:30 +0000 2018
0.39999999999999997,Thu May 03 03:45:24 +0000 2018
-4.625929269271485e-18,Wed May 02 22:40:23 +0000 2018
0.625,Wed May 02 11:45:08 +0000 2018
0.14785714285714288,Tue May 01 11:00:00 +0000 2018
0.4791666666666667,Fri Apr 27 11:50:02 +0000 2018
-0.5,Mon Apr 16 12:31:02 +0000 2018
0.048750000000000016,Wed Apr 11 10:38:42 +0000 2018
0.525,Tue Apr 10 18:30:38 +0000 2018
0.12500000000000003,Mon Apr 09 10:03:16 +0000 2018
0.24603174603174605,Sun Apr 08 12:12:35 +0000 2018
-0.21851851851851853,Sat Apr 07 18:03:56 +0000 2018
0.11904761904761907,Fri Apr 06 14:32:43 +0000 2018
0.07500000000000001,Fri Apr 06 11:29:12 +0000 2018
-0.29999999999999993,Thu Apr 05 13:10:07 +0000 2018
0.17500000000000002,Wed Apr 04 11:22:03 +0000 2018
-0.14166666666666666,Wed Mar 28 10:16:26 +0000 2018
0.0,Sat Mar 10 16:15:19 +0000 2018
0.3033333333333333,Wed Mar 07 15:10:48 +0000 2018
0.0,Sun Feb 18 12:33:16 +0000 2018
0.0,Thu Feb 08 18:44:00 +0000 2018
0.0,Mon Jan 22 15:13:18 +0000 2018
-0.16875000000000004,Thu Dec 28 16:24:08 +0000 2017
-0.26319444444444445,Thu Nov 30 12:25:00 +0000 2017
0.078125,Wed Nov 29 14:40:01 +0000 2017
-0.0012500000000000011,Wed Nov 22 10:33:28 +0000 2017
-0.33124999999999993,Wed Nov 22 10:25:22 +0000 2017
0.0375,Sun Nov 19 23:36:40 +0000 2017
-0.05625,Sun Nov 19 17:42:36 +0000 2017
0.0,Thu Nov 16 12:43:05 +0000 2017
0.4,Thu Nov 16 11:30:14 +0000 2017
0.45,Wed Nov 15 16:35:39 +0000 2017
0.04999999999999999,Sun Nov 12 00:16:05 +0000 2017
0.2,Sat Nov 11 23:32:25 +0000 2017
0.3333333333333333,Fri Nov 10 01:17:15 +0000 2017
0.2986666666666667,Thu Nov 09 23:44:17 +0000 2017
-0.125,Thu Nov 09 23:39:56 +0000 2017
0.0,Thu Nov 09 13:58:32 +0000 2017
0.64,Thu Nov 09 07:08:33 +0000 2017
0.7333333333333334,Wed Nov 08 15:40:40 +0000 2017
1.0,Wed Nov 08 14:27:18 +0000 2017
0.325,Wed Nov 08 04:57:40 +0000 2017
0.2645,Wed Nov 08 01:00:15 +0000 2017
-0.19444444444444448,Fri Nov 03 14:45:56 +0000 2017
0.0,Wed Oct 25 19:39:22 +0000 2017
0.4916666666666667,Wed Oct 25 19:24:10 +0000 2017
0.8,Wed Oct 18 18:20:39 +0000 2017
0.5,Thu Sep 14 02:22:57 +0000 2017
0.3041666666666667,Sun Sep 03 11:39:38 +0000 2017
0.0,Sat Aug 05 22:44:34 +0000 2017
0.5416666666666667,Sat Jul 29 23:35:13 +0000 2017
-0.6125,Sat Jul 29 23:29:05 +0000 2017
0.15,Wed Jul 12 20:20:56 +0000 2017
0.5,Sat Jul 08 18:55:23 +0000 2017
0.25,Wed Jul 05 11:21:23 +0000 2017
-0.024999999999999994,Tue Jul 04 02:24:39 +0000 2017
0.21250000000000002,Tue Jun 20 18:38:11 +0000 2017
0.21770833333333334,Mon May 29 12:18:52 +0000 2017
0.0625,Fri May 12 13:20:04 +0000 2017
-0.3574999999999999,Fri Apr 28 23:26:18 +0000 2017
0.29777777777777775,Fri Apr 21 13:04:19 +0000 2017
0.0,Sun Apr 16 12:18:40 +0000 2017
0.05833333333333335,Thu Apr 13 13:08:20 +0000 2017
0.45499999999999996,Wed Apr 12 12:22:22 +0000 2017
0.4,Tue Apr 11 12:03:43 +0000 2017
0.3625,Tue Apr 11 11:59:04 +0000 2017
