Date,Price,Open,High,Low,Change
2018-07-25,1.1728,1.1684,1.1739,1.1663,0.36%
2018-07-24,1.1686,1.1692,1.1719,1.1654,-0.05%
2018-07-23,1.1692,1.173,1.1752,1.1682,-0.24%
2018-07-20,1.172,1.1644,1.174,1.1626,0.66%
2018-07-19,1.1643,1.1639,1.168,1.1574,0.03%
2018-07-18,1.1639,1.166,1.1665,1.1601,-0.19%
2018-07-17,1.1661,1.1711,1.1746,1.165,-0.42%
2018-07-16,1.171,1.1676,1.1726,1.1674,0.21%
2018-07-13,1.1685,1.1669,1.1688,1.161,0.11%
2018-07-12,1.1672,1.1674,1.1697,1.1648,-0.02%
2018-07-11,1.1674,1.1745,1.176,1.1665,-0.60%
2018-07-10,1.1744,1.1751,1.1764,1.169,-0.06%
2018-07-09,1.1751,1.1748,1.1792,1.1731,0.03%
2018-07-06,1.1747,1.169,1.1769,1.1679,0.48%
2018-07-05,1.1691,1.1655,1.1722,1.1649,0.30%
2018-07-04,1.1656,1.1658,1.1684,1.1629,-0.01%
2018-07-03,1.1657,1.1641,1.1675,1.1621,0.14%
2018-07-02,1.1641,1.1651,1.1699,1.159,-0.38%
2018-06-29,1.1685,1.1569,1.1692,1.1558,1.00%
2018-06-28,1.1569,1.1555,1.1602,1.1527,0.13%
2018-06-27,1.1554,1.1647,1.1674,1.1541,-0.80%
2018-06-26,1.1647,1.1704,1.1722,1.1635,-0.49%
2018-06-25,1.1704,1.1659,1.1715,1.1627,0.40%
2018-06-22,1.1657,1.1604,1.1677,1.16,0.47%
2018-06-21,1.1603,1.1572,1.1635,1.1509,0.27%
2018-06-20,1.1572,1.159,1.1602,1.1537,-0.16%
2018-06-19,1.159,1.1624,1.1646,1.153,-0.28%
2018-06-18,1.1623,1.1609,1.1625,1.1563,0.12%
2018-06-15,1.1609,1.1568,1.1629,1.1543,0.35%
2018-06-14,1.1569,1.1791,1.1853,1.1562,-1.88%
2018-06-13,1.1791,1.1745,1.1803,1.1725,0.39%
2018-06-12,1.1745,1.1784,1.1811,1.1733,-0.33%
2018-06-11,1.1784,1.1766,1.1822,1.1754,0.14%
2018-06-08,1.1768,1.18,1.1812,1.1726,-0.26%
2018-06-07,1.1799,1.1774,1.1842,1.1772,0.22%
2018-06-06,1.1773,1.1717,1.1797,1.1708,0.47%
2018-06-05,1.1718,1.1698,1.1733,1.1652,0.16%
2018-06-04,1.1699,1.1656,1.1744,1.1652,0.33%
2018-06-01,1.1661,1.1691,1.1718,1.1617,-0.27%
2018-05-31,1.1692,1.1665,1.1726,1.1641,0.25%
2018-05-30,1.1663,1.154,1.1678,1.1518,1.07%
2018-05-29,1.154,1.1625,1.1641,1.1508,-0.71%
2018-05-28,1.1623,1.1651,1.1729,1.1605,-0.25%
2018-05-25,1.1652,1.172,1.1735,1.1645,-0.58%
2018-05-24,1.172,1.1695,1.175,1.1688,0.20%
2018-05-23,1.1697,1.1778,1.179,1.1675,-0.70%
2018-05-22,1.1779,1.1792,1.183,1.1754,-0.10%
2018-05-21,1.1791,1.1764,1.1797,1.1717,0.11%
2018-05-18,1.1778,1.1796,1.1825,1.1749,-0.14%
2018-05-17,1.1795,1.1808,1.1839,1.1775,-0.10%
2018-05-16,1.1807,1.1837,1.1854,1.1762,-0.26%
2018-05-15,1.1838,1.1925,1.1939,1.1817,-0.75%
2018-05-14,1.1927,1.1947,1.1998,1.1926,-0.14%
2018-05-11,1.1944,1.1917,1.197,1.1891,0.24%
2018-05-10,1.1915,1.1852,1.1948,1.1843,0.55%
2018-05-09,1.185,1.1863,1.1898,1.1822,-0.12%
2018-05-08,1.1864,1.1924,1.1941,1.1838,-0.49%
2018-05-07,1.1922,1.1953,1.198,1.1898,-0.32%
2018-05-04,1.196,1.1989,1.1997,1.1911,-0.23%
2018-05-03,1.1988,1.1951,1.2009,1.1946,0.31%
2018-05-02,1.1951,1.1992,1.2033,1.1938,-0.35%
2018-05-01,1.1993,1.2076,1.2086,1.1981,-0.71%
2018-04-30,1.2079,1.2125,1.2141,1.2064,-0.42%
