Date,Open,High,Low,Close,Adj Close,Volume
2016-10-04,2056.939941,2059.250000,2050.459961,2054.860107,2054.860107,318900
2016-10-05,2043.369995,2056.010010,2036.869995,2053.000000,2053.000000,292300
2016-10-06,2069.300049,2070.429932,2055.830078,2065.300049,2065.300049,337700
2016-10-07,2065.949951,2067.489990,2051.600098,2053.800049,2053.800049,422400
2016-10-10,2047.189941,2058.729980,2039.989990,2056.820068,2056.820068,314900
2016-10-11,2053.290039,2060.780029,2030.510010,2031.930054,2031.930054,343200
2016-10-12,2022.969971,2037.020020,2022.390015,2033.729980,2033.729980,297400
2016-10-13,2033.989990,2035.930054,2014.890015,2015.439941,2015.439941,440300
2016-10-14,2021.660034,2028.760010,2021.109985,2022.660034,2022.660034,458900
2016-10-17,2028.930054,2033.560059,2011.810059,2027.609985,2027.609985,333400
2016-10-18,2027.810059,2040.719971,2026.469971,2040.430054,2040.430054,305900
2016-10-19,2036.180054,2050.510010,2035.900024,2040.939941,2040.939941,321900
2016-10-20,2044.119995,2048.250000,2036.540039,2040.599976,2040.599976,276000
2016-10-21,2039.400024,2040.400024,2029.790039,2033.000000,2033.000000,260400
2016-10-24,2037.189941,2047.739990,2036.770020,2047.739990,2047.739990,252000
2016-10-25,2042.290039,2042.650024,2031.250000,2037.170044,2037.170044,299100
2016-10-26,2030.369995,2030.369995,2002.290039,2013.890015,2013.890015,392400
2016-10-27,2018.239990,2026.329956,2015.660034,2024.119995,2024.119995,298700
2016-10-28,2021.969971,2026.849976,2015.719971,2019.420044,2019.420044,270500
2016-10-31,2011.290039,2016.010010,2005.949951,2008.189941,2008.189941,400700
2016-11-01,2003.410034,2010.510010,1990.449951,2007.390015,2007.390015,321800
2016-11-02,1995.410034,1997.459961,1976.339966,1978.939941,1978.939941,333500
2016-11-03,1974.930054,1988.819946,1973.579956,1983.800049,1983.800049,272700
2016-11-04,1983.869995,1985.290039,1976.569946,1982.020020,1982.020020,227800
2016-11-07,1997.579956,2001.739990,1992.140015,1997.579956,1997.579956,210300
2016-11-08,2009.560059,2010.170044,1994.329956,2003.380005,2003.380005,239600
