Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,1989.430054,1989.430054,1975.229980,1978.000000,1978.000000,0
2016-10-03,1981.020020,1993.550049,1975.739990,1986.800049,1986.800049,0
2016-10-04,1987.609985,1989.319946,1975.959961,1985.020020,1985.020020,0
2016-10-05,1985.050049,1985.050049,1962.140015,1975.849976,1975.849976,0
2016-10-06,1975.260010,1983.880005,1967.750000,1983.880005,1983.880005,0
2016-10-07,1985.040039,1993.650024,1974.890015,1980.020020,1980.020020,0
2016-10-10,1981.109985,2002.530029,1977.430054,2001.099976,2001.099976,0
2016-10-11,2000.459961,2006.660034,1995.930054,2001.420044,2001.420044,0
2016-10-12,1999.599976,2005.170044,1986.699951,1993.349976,1993.349976,0
2016-10-13,1990.390015,1990.390015,1970.859985,1976.369995,1976.369995,0
2016-10-14,1976.339966,1978.959961,1962.349976,1966.390015,1966.390015,0
2016-10-17,1964.660034,1965.829956,1954.810059,1956.949951,1956.949951,0
2016-10-18,1958.280029,1974.010010,1958.280029,1969.109985,1969.109985,0
2016-10-19,1971.900024,1973.239990,1961.390015,1967.500000,1967.500000,0
2016-10-20,1967.520020,1968.109985,1956.609985,1957.089966,1957.089966,0
2016-10-21,1957.630005,1960.560059,1946.780029,1957.699951,1957.699951,0
2016-10-24,1960.969971,1970.359985,1957.650024,1962.790039,1962.790039,0
2016-10-25,1965.630005,1987.069946,1962.239990,1977.189941,1977.189941,0
2016-10-26,1975.359985,1979.420044,1967.869995,1974.810059,1974.810059,0
2016-10-27,1975.160034,1986.530029,1973.270020,1979.800049,1979.800049,0
2016-10-28,1979.869995,1982.510010,1975.479980,1981.760010,1981.760010,0
2016-10-31,1984.239990,1992.479980,1976.290039,1989.640015,1989.640015,0
2016-11-01,1991.699951,2003.140015,1991.699951,1996.869995,1996.869995,0
2016-11-02,1989.369995,1990.219971,1966.349976,1968.770020,1968.770020,0
2016-11-03,1970.969971,1971.560059,1957.530029,1962.709961,1962.709961,0
2016-11-07,1964.589966,1970.609985,1952.689941,1952.689941,1952.689941,0
2016-11-08,1959.790039,1973.069946,1959.790039,1967.930054,1967.930054,0
2016-11-09,1941.890015,2011.810059,1939.660034,2011.579956,2011.579956,0
2016-11-10,2017.689941,2076.439941,2016.959961,2044.030029,2044.030029,0
2016-11-11,2045.219971,2054.419922,2031.920044,2031.920044,2031.920044,0
2016-11-14,2034.969971,2047.030029,2017.219971,2021.989990,2021.989990,0
2016-11-15,2025.010010,2032.040039,2009.339966,2017.060059,2017.060059,0
2016-11-16,2024.709961,2049.010010,2022.890015,2028.920044,2028.920044,0
2016-11-17,2029.849976,2045.650024,2029.300049,2042.760010,2042.760010,0
2016-11-18,2042.229980,2048.189941,2036.290039,2038.290039,2038.290039,0
2016-11-21,2044.199951,2059.669922,2044.199951,2058.770020,2058.770020,0
2016-11-22,2062.979980,2074.889893,2057.699951,2066.179932,2066.179932,0
2016-11-23,2069.179932,2085.750000,2068.610107,2085.750000,2085.750000,0
2016-11-24,2086.560059,2107.959961,2086.560059,2102.969971,2102.969971,0
2016-11-25,2101.469971,2106.600098,2088.399902,2098.149902,2098.149902,0
2016-11-28,2098.330078,2104.340088,2086.360107,2094.649902,2094.649902,0
2016-11-29,2092.129883,2098.000000,2082.709961,2086.840088,2086.840088,0
2016-11-30,2087.810059,2116.379883,2085.840088,2104.909912,2104.909912,0
2016-12-01,2110.689941,2128.699951,2110.689941,2121.870117,2121.870117,0
2016-12-02,2121.120117,2137.820068,2114.909912,2128.989990,2128.989990,0
2016-12-05,2126.929932,2163.389893,2126.929932,2158.330078,2158.330078,0
2016-12-06,2159.250000,2177.939941,2151.070068,2152.350098,2152.350098,0
2016-12-07,2154.020020,2165.209961,2148.540039,2160.510010,2160.510010,0
2016-12-08,2168.399902,2207.020020,2167.929932,2207.020020,2207.020020,0
2016-12-09,2211.290039,2220.010010,2197.489990,2208.530029,2208.530029,0
2016-12-12,2219.129883,2242.169922,2210.060059,2226.889893,2226.889893,0
2016-12-13,2225.739990,2247.020020,2215.699951,2247.020020,2247.020020,0
2016-12-14,2248.219971,2258.100098,2215.110107,2229.050049,2229.050049,0
2016-12-15,2217.159912,2240.139893,2202.350098,2237.229980,2237.229980,0
2016-12-16,2239.080078,2251.229980,2229.300049,2231.409912,2231.409912,0
2016-12-19,2233.989990,2235.120117,2215.689941,2215.689941,2215.689941,0
2016-12-20,2215.310059,2233.840088,2207.389893,2226.360107,2226.360107,0
2016-12-21,2227.310059,2237.600098,2210.729980,2212.330078,2212.330078,0
2016-12-22,2203.800049,2203.800049,2172.370117,2174.639893,2174.639893,0
2016-12-23,2173.620117,2188.989990,2159.510010,2173.179932,2173.179932,0
2016-12-26,2172.860107,2186.020020,2172.260010,2177.860107,2177.860107,0
2016-12-27,2173.800049,2190.909912,2173.800049,2189.429932,2189.429932,0
2016-12-28,2191.169922,2201.209961,2182.979980,2182.979980,2182.979980,0
2016-12-29,2182.300049,2210.489990,2169.429932,2206.330078,2206.330078,0
2016-12-30,2206.040039,2232.719971,2206.040039,2232.719971,2232.719971,0
2017-01-03,2237.080078,2293.989990,2237.080078,2285.429932,2285.429932,0
2017-01-04,2284.610107,2284.610107,2251.750000,2263.899902,2263.899902,0
2017-01-05,2265.719971,2270.939941,2213.449951,2220.350098,2220.350098,0
2017-01-06,2221.360107,2230.409912,2195.439941,2213.929932,2213.929932,0
2017-01-09,2217.739990,2227.879883,2201.600098,2211.250000,2211.250000,0
2017-01-10,2209.530029,2237.879883,2205.870117,2237.489990,2237.489990,0
2017-01-11,2233.620117,2239.870117,2211.159912,2218.610107,2218.610107,0
2017-01-12,2224.020020,2228.550049,2205.550049,2212.000000,2212.000000,0
2017-01-13,2214.239990,2217.469971,2173.389893,2195.189941,2195.189941,0
2017-01-16,2195.669922,2202.389893,2180.780029,2189.070068,2189.070068,0
2017-01-17,2189.949951,2195.360107,2167.879883,2178.729980,2178.729980,0
2017-01-18,2180.639893,2190.000000,2165.320068,2170.090088,2170.090088,0
2017-01-19,2171.449951,2178.219971,2151.429932,2162.250000,2162.250000,0
2017-01-20,2162.709961,2165.879883,2147.189941,2159.959961,2159.959961,0
2017-01-23,2160.129883,2160.129883,2136.350098,2146.090088,2146.090088,0
2017-01-24,2147.510010,2174.590088,2147.510010,2174.590088,2174.590088,0
2017-01-25,2175.399902,2178.919922,2163.550049,2176.000000,2176.000000,0
2017-01-26,2179.340088,2230.770020,2179.340088,2229.199951,2229.199951,0
2017-01-27,2226.870117,2266.050049,2219.669922,2266.050049,2266.050049,0
2017-01-30,2263.629883,2263.629883,2231.399902,2234.139893,2234.139893,0
2017-01-31,2233.659912,2240.570068,2215.790039,2217.389893,2217.389893,0
2017-02-01,2219.189941,2231.679932,2214.000000,2231.679932,2231.679932,0
2017-02-02,2231.659912,2236.800049,2210.139893,2217.560059,2217.560059,0
2017-02-03,2219.489990,2228.050049,2213.219971,2226.610107,2226.610107,0
2017-02-06,2228.850098,2230.860107,2202.199951,2210.510010,2210.510010,0
2017-02-07,2210.870117,2218.770020,2201.219971,2218.770020,2218.770020,0
2017-02-08,2215.340088,2217.370117,2180.209961,2189.610107,2189.610107,0
2017-02-09,2192.239990,2196.080078,2160.419922,2173.979980,2173.979980,0
2017-02-10,2176.790039,2182.179932,2156.810059,2162.189941,2162.189941,0
2017-02-13,2165.120117,2174.729980,2150.520020,2161.489990,2161.489990,0
