Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,10240.690430,10531.259766,10189.940430,10511.019531,10511.019531,0
2016-10-04,10492.969727,10646.719727,10492.250000,10619.610352,10619.610352,0
2016-10-05,10535.620117,10622.440430,10486.629883,10585.780273,10585.780273,0
2016-10-06,10641.129883,10641.129883,10537.679688,10568.799805,10568.799805,0
2016-10-07,10549.690430,10579.089844,10465.349609,10490.860352,10490.860352,0
2016-10-10,10496.009766,10639.410156,10454.980469,10624.080078,10624.080078,0
2016-10-11,10600.940430,10692.360352,10568.719727,10577.160156,10577.160156,0
2016-10-12,10572.719727,10604.000000,10503.200195,10523.070313,10523.070313,0
2016-10-13,10425.790039,10430.830078,10349.059570,10414.070313,10414.070313,0
2016-10-14,10450.059570,10615.299805,10449.469727,10580.379883,10580.379883,0
2016-10-17,10544.690430,10583.700195,10491.280273,10503.570313,10503.570313,0
2016-10-18,10560.139648,10657.339844,10543.690430,10631.549805,10631.549805,88963500
2016-10-19,10626.990234,10672.219727,10587.709961,10645.679688,10645.679688,0
2016-10-20,10665.750000,10748.410156,10592.889648,10701.389648,10701.389648,0
2016-10-21,10710.509766,10737.259766,10672.349609,10710.730469,10710.730469,0
2016-10-24,10743.870117,10820.080078,10743.870117,10761.169922,10761.169922,0
2016-10-25,10786.250000,10827.719727,10738.360352,10757.309570,10757.309570,0
2016-10-26,10726.219727,10737.790039,10632.290039,10709.679688,10709.679688,0
2016-10-27,10691.860352,10772.669922,10656.179688,10717.080078,10717.080078,0
2016-10-28,10634.990234,10716.160156,10583.570313,10696.190430,10696.190430,0
2016-10-31,10658.669922,10687.740234,10634.339844,10665.009766,10665.009766,0
2016-11-01,10724.139648,10730.480469,10506.389648,10526.160156,10526.160156,0
2016-11-02,10443.519531,10460.929688,10368.200195,10370.929688,10370.929688,0
2016-11-03,10341.860352,10406.719727,10325.879883,10325.879883,10325.879883,0
2016-11-04,10281.870117,10286.389648,10212.530273,10259.129883,10259.129883,0
2016-11-07,10410.559570,10456.950195,10381.139648,10456.950195,10456.950195,0
2016-11-08,10449.519531,10486.040039,10414.830078,10482.320313,10482.320313,0
2016-11-09,10181.889648,10646.549805,10174.919922,10646.009766,10646.009766,0
2016-11-10,10710.040039,10793.969727,10575.959961,10630.120117,10630.120117,0
2016-11-11,10702.879883,10714.469727,10584.309570,10667.950195,10667.950195,0
2016-11-14,10750.620117,10802.389648,10677.089844,10693.690430,10693.690430,0
2016-11-15,10720.929688,10748.309570,10666.169922,10735.139648,10735.139648,0
2016-11-16,10726.339844,10735.469727,10610.269531,10663.870117,10663.870117,0
2016-11-17,10640.360352,10686.879883,10604.320313,10685.540039,10685.540039,0
2016-11-18,10735.049805,10737.980469,10649.120117,10664.559570,10664.559570,0
2016-11-21,10697.950195,10727.089844,10595.139648,10685.129883,10685.129883,0
2016-11-22,10745.669922,10767.730469,10707.870117,10713.849609,10713.849609,0
2016-11-23,10718.889648,10742.660156,10602.209961,10662.440430,10662.440430,0
2016-11-24,10689.160156,10715.650391,10653.620117,10689.259766,10689.259766,0
2016-11-25,10700.169922,10710.160156,10649.370117,10699.269531,10699.269531,0
2016-11-28,10655.919922,10658.360352,10554.940430,10582.669922,10582.669922,0
2016-11-29,10562.150391,10624.759766,10539.230469,10620.490234,10620.490234,0
2016-11-30,10615.790039,10691.669922,10606.040039,10640.299805,10640.299805,0
2016-12-01,10593.059570,10627.099609,10502.540039,10534.049805,10534.049805,0
2016-12-02,10436.480469,10545.370117,10402.589844,10513.349609,10513.349609,0
2016-12-05,10494.639648,10730.740234,10493.620117,10684.830078,10684.830078,0
2016-12-06,10685.000000,10786.259766,10668.669922,10775.320313,10775.320313,0
2016-12-07,10885.049805,10988.790039,10873.809570,10986.690430,10986.690430,0
2016-12-08,11035.759766,11193.099609,10990.599609,11179.419922,11179.419922,174835000
2016-12-09,11170.179688,11231.690430,11145.980469,11203.629883,11203.629883,103830000
2016-12-12,11198.419922,11213.040039,11141.860352,11190.209961,11190.209961,89811700
2016-12-13,11194.669922,11300.440430,11191.639648,11284.650391,11284.650391,98486400
2016-12-14,11254.469727,11281.429688,11235.240234,11244.839844,11244.839844,90297900
2016-12-15,11267.030273,11387.110352,11267.030273,11366.400391,11366.400391,141375800
2016-12-16,11368.639648,11451.570313,11357.150391,11404.009766,11404.009766,178636700
2016-12-19,11384.030273,11426.700195,11380.120117,11426.700195,11426.700195,80884600
2016-12-20,11415.299805,11472.080078,11406.950195,11464.740234,11464.740234,75800700
2016-12-21,11445.230469,11479.879883,11440.290039,11468.639648,11468.639648,62382000
